shipment_id,order_id,shipment_date,carrier,shipping_method,shipment_status,estimated_delivery,actual_delivery,delivery_delay_days,is_significantly_delayed
d2bba271-b8a2-412a-abe4-c53b791fdedb,4d733b7e-c4c5-4cdb-bdc0-e65a36b41208,4/23/2025,Old Dominion Freight Line,Standard,Pending,7/1/2024,10/13/2024,104,1
d09caa77-edbc-4a93-a552-0e1488e41c94,498f5eed-8ee1-460b-9532-07c7de5a159d,4/9/2022,R+L Carriers,Standard,In Transit,5/15/2024,12/21/2024,220,1
9f2a8413-7ca6-4c2b-96b7-05b7ff32681c,16fcc245-2598-440b-85bc-2c4da7547254,3/2/2025,Saia,Standard,Cancelled,1/23/2025,8/7/2024,0,0
d079cb33-429f-46bf-aedc-57b7cf065e1c,bea3583d-ab15-4506-b1ce-c2925a289bcb,8/28/2024,ABF Freight,2-day,Hold at Location,6/27/2024,7/1/2024,4,0
bc12bd37-1424-400e-a85d-2562be31825b,d19a3f56-f9bd-4fb0-b64d-a67b47a58bb1,5/16/2022,Amazon Logistics,Express,Out for Delivery,6/28/2024,4/9/2025,285,1
6eae23d6-a839-456d-96e7-3a3508cd6143,268e21fd-9170-4666-a74e-90ebd922e1ff,5/27/2023,DHL,Express,Hold at Location,8/2/2024,6/27/2024,0,0
da8cde98-4d02-4a63-8b04-c6b1e1ac5857,19eaa541-e8d1-4e18-a7ef-8fc3db265f38,7/20/2022,Estes Express Lines,Express,Returned,2/4/2025,6/14/2024,0,0
cd3ee13c-2b54-42a0-a880-14c18bb9af96,7edadfd0-e288-4d65-99bf-7a7b8374cae8,12/21/2024,USPS,Standard,Awaiting Pickup,8/4/2024,11/7/2024,95,1
63a72094-0871-426b-ad91-8cfe5fddd151,bfae7f74-cdbe-4e42-a9f2-ce28ec46f96c,10/25/2024,YRC Freight,Express,Delivered,9/28/2024,4/12/2025,196,1
3f3d6d09-3fdb-42f2-9827-7045e3c18ef3,8be84d95-6d68-4ffb-9603-1ddfd42fa3ee,4/28/2024,UPS,Standard,In Transit,9/15/2024,2/17/2025,155,1
b295538b-8b88-4e52-bcad-d242aedb7a8c,c2421ff6-7d2c-45af-a693-54cc61ac9059,8/1/2024,Old Dominion Freight Line,Standard,Cancelled,8/22/2024,11/20/2024,90,1
a13e2128-c105-4a9a-8106-9252e319147a,47891df6-bb9e-4b56-857e-087fd7370d99,3/19/2024,ArcBest,Standard,Failed Delivery,5/28/2024,3/29/2025,305,1
